"","Breast_ge$X","ENSG00000077238","ENSG00000135213","ENSG00000183426","ENSG00000211801","ENSG00000102886","ENSG00000171291","ENSG00000141956","ENSG00000171817","ENSG00000204219","ENSG00000112983","ENSG00000197497","ENSG00000139537","ENSG00000007312","ENSG00000186481","ENSG00000251606","ENSG00000143753","ENSG00000171174","ENSG00000157992","ENSG00000211810","ENSG00000171135","ENSG00000112159","ENSG00000166971","ENSG00000103599","ENSG00000270505","ENSG00000139291","ENSG00000132879","ENSG00000129968","ENSG00000110274","ENSG00000160223","ENSG00000211710","ENSG00000249859","ENSG00000231113","ENSG00000211746","ENSG00000225113","ENSG00000211898","ENSG00000198821","ENSG00000109063","ENSG00000225405","ENSG00000146904","ENSG00000129277","ENSG00000211734","ENSG00000009790","ENSG00000253701","ENSG00000073712","ENSG00000105426","ENSG00000226660","ENSG00000245164","ENSG00000162729","ENSG00000109133","ENSG00000198625","ENSG00000211752","ENSG00000196126","ENSG00000152495","ENSG00000183878","ENSG00000131914","ENSG00000094963","ENSG00000143119","ENSG00000100813","ENSG00000117560","ENSG00000184730","ENSG00000185485","ENSG00000116824","ENSG00000214900","ENSG00000075914","ENSG00000112077","ENSG00000243536","ENSG00000122435","ENSG00000131797","ENSG00000164180","ENSG00000157554","ENSG00000196329","ENSG00000176248","ENSG00000196199","ENSG00000141040","ENSG00000213553","ENSG00000162894","ENSG00000146285","ENSG00000129824","ENSG00000116251","ENSG00000082293","ENSG00000204252","ENSG00000246223","ENSG00000100941","ENSG00000170486","ENSG00000204852","ENSG00000154620","ENSG00000211772","ENSG00000239855","ENSG00000211689","ENSG00000172116","ENSG00000104067","ENSG00000069667","ENSG00000135749","ENSG00000211747","ENSG00000169964","ENSG00000160654","ENSG00000128016","ENSG00000181894","ENSG00000186854","ENSG00000167664","ENSG00000128218","ENSG00000154814","ENSG00000263264","ENSG00000147168","ENSG00000251562","ENSG00000241859","ENSG00000134539","ENSG00000120725","ENSG00000089012","ENSG00000241106","ENSG00000267364","ENSG00000132424","ENSG00000186265","ENSG00000117318","ENSG00000132915","ENSG00000111863","ENSG00000134545","ENSG00000122986","ENSG00000163492","ENSG00000198692","ENSG00000130921","ENSG00000104689","ENSG00000099260","ENSG00000167286","ENSG00000219481","ENSG00000175899","ENSG00000132485","ENSG00000145649","ENSG00000110651","ENSG00000151414","ENSG00000057252","ENSG00000177455","ENSG00000168421","ENSG00000229308","ENSG00000229164","class"
"1","3-Breast-Her2-ampl",-1.292997101,-0.80273556,-0.696317935,0.496701494,-0.873858954,-0.754840795,-0.924383457,-0.770282679,0.003754282,0.187237459,-0.904060681,1.505807355,-0.369901779,-0.581780429,-0.787716393,-0.695462302,-0.774306137,-0.721938959,-0.432367117,-0.351606297,0.617120816,0.044332083,0.18961584,-0.263171492,-0.993080184,0.711759628,-0.707016327,-0.727017752,-0.724320173,-0.430612999,-0.114308899,0.21607335,0.222669379,-0.062129984,-0.396406517,-0.006139488,-0.768176947,-0.860618193,-0.800866418,-0.157803535,0.616373467,-0.001731177,-0.970161536,-0.727287605,0.580695432,-0.775167238,0.02430657,-0.964567227,-1.16293799,0.189392487,-0.439841706,-0.120896758,-0.450106222,-0.841409896,0.053063352,1.211810294,0.039466622,-1.030682527,-0.840778946,-0.899324621,-0.020071534,0.767803605,-0.71825136,-0.150942876,-0.863349776,0.360814683,-1.480942403,-0.632927612,-0.770737782,-0.685787311,-0.081019221,-1.015217121,-0.099692753,-0.909618576,-0.728791308,-1.061045248,0.193746251,-0.86971045,-0.38552605,-1.065042491,-1.118538929,-0.532598321,-0.164234658,-0.812992248,-1.087206231,0.11316249,0.063874318,-0.781246686,-0.710120182,-1.022968851,1.091632967,0.998292223,-0.526636219,0.022151642,-1.01538875,0.086509397,-0.821020602,-0.417014183,0.379854052,-1.133696876,-1.107757423,-0.750624357,-0.616520152,0.214978037,-0.185624411,-0.791536645,0.567256038,0.417902925,0.385990742,-0.738269334,-1.138216365,-0.043333357,-1.018628137,-0.548980737,-0.771466381,-0.414545058,0.411584255,-1.876168989,-1.128673654,-0.917758107,0.063918036,-0.871749059,-0.693287557,0.14341278,-0.909988767,1.217546393,-0.61948743,0.10776541,-1.448784385,-0.499609525,-0.688679912,-1.391884145,-0.218655561,-0.6979695,0.258185325,"Breast"
"2","8-Breast-WT",-1.258255791,-1.158499519,-0.686266489,-0.801858036,-0.851002542,-0.742736463,0.133621628,-0.747780576,-0.771514759,-0.160459452,-0.886817237,-1.007981385,-1.376122452,-0.900798,-0.773219811,-0.226322248,-0.756346428,-0.708529806,-0.867486506,-1.05882797,-1.52068553,-0.056202746,2.354941936,-0.962198294,-0.972835925,-1.060504007,-0.552581593,-1.374545695,-0.714161607,-0.867144405,-1.105155766,-0.822016319,-0.916495543,-0.77668877,-0.838652387,-1.354244784,-0.74667898,-0.847254931,-0.783332102,-1.12099997,-1.020266903,-0.81862482,-0.947662118,-0.713906028,-1.34523824,-0.168449114,-0.11465698,-0.939669592,-1.131979676,-0.109753048,-0.367683676,-0.973548426,0.466232548,-0.804608519,-0.816740124,1.012353765,-1.210075409,-1.82414442,-0.822552185,-0.880870365,-0.990148967,-0.808726157,-0.704499057,-1.536706209,1.001763163,-0.91003111,-0.321063147,-0.953304146,-0.869024394,-0.672855192,-1.809266534,-0.519788502,-1.617794138,-0.887134521,-0.718655422,-0.700120982,0.067281351,-0.655672808,-1.174924695,-1.027116118,-1.093267544,-1.086030502,-0.662071773,-0.787631247,0.753314252,-0.525142158,-1.029235791,-0.767647689,-1.394828231,-1.2828738,-0.782448052,-1.524664766,-0.880028014,-1.042069238,-0.206876839,-1.074010564,-0.472226566,-0.882018625,-0.299950453,-0.152678691,-1.085920131,-0.337360436,-1.296205236,-0.76619996,-1.715589684,-0.774569791,-1.21777377,-1.31456793,-1.288781211,-1.094355025,-1.112172731,-0.83699961,-0.720577839,-1.298853202,-0.757296323,-1.000087285,-0.043768731,-0.250970026,-1.090382795,-0.882018772,-1.395783129,-0.853132793,0.336477012,-1.194884318,-0.847712931,1.799833369,-0.459841475,-0.578421997,-1.406935365,-0.656467168,-1.389377008,-1.350430385,-1.664165593,-0.676483509,-1.228677243,"Breast"
"3","10-Breast-Her2-ampl",-1.245236086,-1.148777017,-0.682338622,-0.796234714,-0.8423283,-0.73802447,-0.895116774,-0.73927769,-1.062803837,-1.390611581,-0.880161136,-0.998316379,-1.014762088,-0.244899562,-0.767605344,-0.087265874,-0.74946134,-0.703336035,-0.861356564,-1.051050212,-1.265820161,-1.406508488,1.13463426,-0.954481289,-0.17175902,-1.051385438,-0.525714642,-1.030956031,-0.71018863,0.049614997,-1.092831089,-0.816226586,-0.909020475,-0.284750233,-1.998422713,-1.339279606,-0.738528419,-0.842048459,-0.776597663,-0.936989971,-0.677282766,-1.178921238,-0.93906292,-0.029883626,-0.981421382,-0.757530426,-1.271159084,-0.930239858,-0.489689692,-0.593212804,-0.905276814,-1.05401452,-0.433138171,-0.329863032,-0.805448927,1.702193618,-1.220062552,-1.556008837,-0.815549953,-0.873771657,-1.331968404,-1.042968512,-0.699179643,-1.521058143,0.69365285,-0.90118656,-1.422918493,-0.943000652,-1.401257434,-0.667847435,-0.507299417,-0.494782359,-1.138769218,-0.878585223,-0.714692005,-0.845347336,-1.338212615,-0.824070497,-0.858926543,-1.013164641,0.503284693,-1.074810892,-1.045588757,-0.778097879,-1.050281822,-0.80163633,-1.110914679,-0.762368877,-0.790128038,-1.268601738,-0.775411679,-0.055240534,-0.870246147,-1.033358867,-0.988987011,-1.431750753,-0.736661311,-0.875533792,-1.188752852,-1.101114849,0.002646529,-1.579044219,-1.28290297,-1.475708916,-1.17404388,-0.768047141,-1.057301606,-0.506516398,-1.274353331,-1.085397316,-0.697551042,-1.385141843,-1.282370507,-1.285924874,-0.751806361,-0.990009494,-0.380441777,-1.218415412,-1.076359313,-0.86910507,-0.924174213,-0.845986284,1.771117615,-1.491615198,-1.23343101,-0.562885005,-0.745017097,-0.695795957,-0.486924733,-0.252697341,-1.373224671,-1.335151129,-1.134127735,-0.668387617,-1.268740827,"Breast"
"4","Breast-100",-0.921561131,-0.095645339,-0.265654202,-0.552294227,-0.612205009,-0.417415887,-0.669884888,-0.468586084,-0.749981354,-1.240486879,-0.660800105,-0.74135601,-1.349359739,-0.61970541,-0.458265799,-1.181082195,-0.508812907,-0.371813464,-0.62979316,0.67954042,-1.133323081,-1.040833431,-0.454573242,-0.732054886,-0.741161619,-0.798587457,-0.44339259,-1.001649165,-0.258399817,0.36809926,-0.790426413,-0.471808111,-0.694279304,-0.514273295,-0.294225217,-0.986352256,-0.488347781,-0.494242724,-0.523094216,-0.593016376,-0.801261504,-0.2739136,-0.699974244,-0.404956269,-0.959776201,-0.429855031,-0.178441095,-0.682322334,-0.824950639,-1.505051447,0.449524855,-0.694972861,0.342199808,-0.515626825,-0.54414633,-0.499848021,-0.823366601,-0.013046672,-0.591910081,-0.657559549,-0.4061936,-0.292759542,-0.398674589,-1.142516053,-0.510705132,-0.664489305,-1.058558133,-0.681235512,0.208129971,-0.342054432,-0.119279327,-0.76863799,-0.958608636,-0.648666379,-0.337082841,-0.910273019,0.072189165,-0.571868108,0.153052243,-0.697894689,-0.820069172,-0.78890508,-0.749655045,-0.53495299,-0.781750909,-0.238005115,-0.309576562,0.850104469,-1.037320905,0.295331834,-0.544042322,-0.703756553,-0.620987895,-0.788603688,-0.771827037,-0.779703341,-0.860602824,-0.613124514,-0.856938312,-0.846698396,0.046463324,-0.604013387,-0.952090563,-0.662934598,-0.21185172,-0.530410019,0.018344983,-0.407973428,-0.931512855,-0.038872972,-0.833288544,-0.965025539,0.57536692,-0.957685994,-0.438356786,-0.727107664,-0.910923695,-0.606428501,-0.764983393,-0.598927535,-0.419759681,-0.636167332,-0.423612324,-1.552800754,0.22657602,-0.631007824,-1.027409516,-0.262032023,-1.029735001,-0.022407498,-1.004300415,-0.983375076,-0.809681173,-0.425981172,-0.786872388,"Breast"
"5","15-Breast-Her2-ampl",-0.292631497,-0.567180038,-0.655750181,-0.758834979,-0.78692827,-0.706383308,-0.842669444,-0.685420437,-0.979610696,-1.526232907,-0.836225199,-0.936608212,-0.951957357,1.29423329,-0.730302017,-1.467450696,-0.704647891,-0.668823777,-0.820653479,-0.999831668,-0.208836793,-0.297735909,-0.660627659,-0.903982368,-0.914182676,-0.992419233,-0.451766518,-1.267297202,-0.683247899,-0.819017772,-0.597373262,-0.777659795,-0.296191319,-0.718482941,-0.169187747,-1.247569354,-0.686596336,-0.80702421,-0.732594021,-1.723844205,-0.967444128,-1.028393636,-0.883400896,-0.674256878,0.310237892,-0.724411358,-0.135326549,-0.076549987,-0.323407446,-0.044124424,-0.866903447,-0.867314909,-1.247557801,-0.713331378,-0.7364917,-0.700407822,-0.915164506,-1.068661247,-0.769775691,-0.827238304,-1.248273493,-1.336377421,-0.663930804,-1.424351195,1.628213684,-0.844573633,-0.481543164,-0.87814501,-0.326936167,-0.634591165,-1.677078523,0.699724882,-0.976750897,-0.823776316,-0.687825103,-0.915045243,-0.267423025,-0.753143882,-0.89257472,-0.928809634,-1.021607251,-1.004168159,-0.978312409,-0.718302157,-0.985598685,-1.008947527,-1.241328668,-0.727132204,-0.406382272,-0.560868219,2.244901819,-0.018213478,-0.808563887,-0.976800556,-0.940568349,-1.096509668,-0.592241175,-0.83257982,-1.101328876,0.53345098,-1.022555898,-0.266717731,-1.199840245,-0.836516019,-0.793712681,-0.725349289,-1.245513526,-1.219252943,-0.418029901,-1.027188673,-0.556729799,-0.607176104,-1.20038848,-0.462805127,-0.715303098,-0.926043842,-0.844595145,-1.696414626,-0.992190627,-0.793273032,-0.940166608,-0.799326526,0.120003675,-0.947704244,-0.677437511,0.160087486,-0.92261599,-0.973262434,-1.296904486,-0.256159197,-0.201294817,-1.242376732,-1.208646899,-0.617394478,-1.088673407,"Breast"
"6","16-Breast-WT",-1.202643077,-1.116280354,0.139440264,-0.777132348,-0.813559195,-0.721928092,-0.868038253,-0.711215532,-1.018702422,-1.32326552,-0.857650165,-0.966269922,0.070939587,-0.853062944,-0.748543751,0.221785772,-0.726365832,-0.685701309,-0.255143856,-0.495718042,0.117151135,-1.356121632,-0.6821593,-0.92851556,-0.938893905,-1.020919937,-0.623006658,-0.247092123,-0.696539935,-0.83944017,-1.052619057,-0.796540524,-0.883881175,0.155571208,0.145704784,-1.290882011,-0.711531979,-0.824244563,-0.753956687,-0.695090479,-0.611706299,-0.525591408,-0.910313876,1.361319513,-0.907452012,-0.740671702,0.150661021,-0.899032358,-1.082097588,-0.227367139,-0.885737958,0.026148914,-0.241744377,-0.74946012,-0.099607969,-0.719420704,0.045244655,-1.143580195,-0.79200208,-0.849861503,-0.893286227,-0.527431903,-0.681147635,0.631799573,-0.773873806,-0.871814869,0.38162856,-0.909127718,0.965915621,1.970546284,-1.415256127,-0.963302469,-1.075764523,-0.850167273,-0.701078862,-0.248814448,-1.29080927,-0.786001777,-0.661396875,-0.968413703,-0.017642899,-1.037921819,-0.439734524,-0.746818656,-1.016668176,-0.497253911,-1.044359098,-0.744398249,-0.700555667,-1.222326968,2.435465909,-1.453422374,-0.838051183,-1.004185886,-0.964162148,-1.381029061,-0.344959063,-0.229933855,-1.142495789,-1.070886152,-1.049269599,0.03600349,-1.239385299,0.048895795,-0.687923551,-0.746094404,-0.05383921,0.712451286,-1.227569127,-1.055382765,-1.069281765,-1.080301025,-0.607853497,-0.3254813,-0.073982411,-0.956712182,-1.207057095,-0.047086656,-1.031583209,-0.828430411,-0.651288973,-0.821971798,2.289230957,-1.897610328,-1.196122968,-0.869171708,0.140884542,-0.461606888,-1.341491475,-0.428987566,-1.01111365,-0.000988241,-1.591698348,-0.641756749,-0.487811116,"Breast"
"7","21-Breast-WT",0.460718088,-0.154366894,0.028943386,-0.796186777,-0.842254772,-0.73798425,-0.895048014,-0.739205699,-1.062688331,0.471954961,-0.880104453,-0.99823446,0.308262126,-0.889477306,-0.767557488,-0.086920636,-0.749402819,-0.703291763,-0.339873095,-1.050983999,1.013087669,-1.406377089,-0.705059101,-0.954415651,-0.964991698,-1.051308009,-1.397827269,-1.359430532,-0.710154673,-0.337974891,-1.092727035,-0.816177219,-0.908956902,-0.768780538,0.115190515,-1.339153534,-0.73845935,-0.842004007,-0.776540392,0.133008188,-0.411157102,0.430781173,-0.43533684,-0.708677544,-1.329189513,-0.757488273,-1.270917264,-0.930159968,-1.120238564,-1.925230006,-0.905227943,0.570065648,-1.344235782,-0.791202169,-0.805353845,-0.739377752,0.672995648,-0.307756437,-0.815490401,-0.873711263,0.128528382,0.699836989,-0.699134319,0.305226675,-0.815118052,-0.901111566,-1.422786729,-0.9429135,-0.100986125,3.861255888,-0.267808373,-0.988395069,0.010659247,-0.878512715,-0.714658131,-1.707035644,-1.338089511,-0.513566605,-0.592132768,-1.013047345,-1.08355474,-1.074715989,-1.756281466,-0.778017276,-1.050195829,-0.946939049,-0.205149331,-0.762323853,0.177505491,-1.268481428,1.924094571,-1.00812004,-0.870163383,0.348642374,-0.988924452,-0.025888343,-0.212146767,-0.31927788,-0.017211905,-1.101038193,-0.269544024,-1.842433835,-1.282790588,0.496732861,-1.084749796,-0.767991658,0.177213507,-1.301346938,-0.230605884,-1.085321201,-1.102177638,0.298560063,1.113028524,-0.907121375,-0.751759562,-0.989924148,1.193946774,-1.807651577,-1.076241548,-0.868996996,-0.625526624,-0.845925517,-0.670010161,0.677269427,-1.233335686,-0.907206035,-0.445864136,0.549352058,-1.39132302,0.580203251,-0.584037573,-1.335022598,-0.610826512,-0.668319125,0.041750381,"Breast"
"8","33-Breast-Her2-ampl",-1.217322894,-1.12759844,-0.673614753,-0.783838363,-0.823540613,0.808225969,-0.877472457,-0.72092803,-1.033765498,0.653091445,-0.865535613,0.786848062,-0.571771343,-0.865609468,-0.755233514,-1.529696291,-0.734423157,-0.691890517,-0.847852866,-1.03397809,-1.46952327,-1.373379395,-0.690161611,-0.937588378,-0.455959505,-1.03152837,-0.650627468,-0.408759343,-0.701358124,-0.846941549,-1.066460693,-0.803454564,-0.892663067,-0.751819602,-1.220913059,-1.307470189,-0.720891843,-0.830515249,-0.761864369,-0.197677229,-0.634538564,-0.199721287,-0.381514157,2.394766382,-0.682320891,-0.746603924,-1.78406278,-0.909848689,-1.095302751,-0.0047969,-0.892611819,-0.828614834,-1.31059148,-0.478348641,-0.781481355,1.376458772,-0.050920111,-0.584988406,-0.800227592,-0.858220265,-1.303320258,-0.165564696,-0.687471195,0.389310727,-0.787972421,-0.882011965,-1.389728897,-0.920829873,-1.369625262,2.367348791,-0.244727594,-0.053656025,-1.168102659,-0.860037776,-0.70588404,-1.022650915,-1.307088705,-0.611339676,-0.755016163,-0.983690707,-1.062700817,-0.651741896,-1.33372288,-0.757613421,-1.028323557,-0.748870502,-0.67998479,-0.750713584,0.334188046,-1.238207146,-0.760039762,-1.168970849,-0.849179465,-1.014356397,-0.97285377,-1.39830209,-1.125572106,-0.861263191,-1.158318598,-1.081427268,-1.059144599,0.191659801,-1.254383901,-0.544339231,-1.838190893,-0.75376578,-1.93868986,-1.273297838,-1.243623526,-1.06584899,-1.080743258,-0.282326001,-1.254254562,-1.258129948,-0.739705073,-0.968243672,-1.223613006,-0.932965484,-1.046835138,-0.629930036,-1.68204041,-0.830357302,2.855424067,-0.680476285,-1.209069953,-0.882239642,-0.118703043,-0.443717026,-1.358598168,-1.240472237,-1.339070724,-1.302815046,0.208957431,-0.650958687,-0.273281812,"Breast"
"9","42-Breast-Her2-ampl",0.685063454,-0.646569337,-0.670240136,-0.779076703,0.232219503,-0.723572734,-0.870765841,-0.22852565,-1.023026172,0.71538051,-0.859934612,-0.969479133,-0.654033383,-0.856672163,-0.750483172,-0.461329691,-0.728696473,-0.687495634,-0.842669219,-1.027446347,-1.456721938,-0.392435822,1.625246186,-0.931141523,-0.941539433,-0.560204134,-0.533004305,0.036803971,-0.697939893,-0.841614202,-0.399184232,-0.798545528,-0.886422697,0.145423795,0.01328391,-0.205047648,-0.71423314,-0.826064963,-0.756245031,-0.487737097,-0.992341192,0.063220846,-0.361165446,-0.692906344,-1.283074713,-0.742393227,0.091444128,-0.902153552,-1.08590307,0.27943701,-0.887732594,0.39124099,-1.298095244,-0.753510108,0.088966846,0.989158235,0.468747391,-0.506237631,-0.79438251,-0.852281242,0.998457973,-0.164998409,-0.682980353,0.6189547,1.151929757,-0.874759182,0.140165796,-0.912500523,-1.357828112,-0.652579016,-0.162206967,-0.965853364,0.032677165,-0.853017765,-0.702474989,-0.759166983,-1.295491313,-0.789684635,-0.999652632,-0.167141674,-1.054762161,-1.041595425,-1.258888953,-0.749928644,-1.020032056,-1.07471948,-0.296127648,-0.74623005,-0.339041317,0.771783899,2.062727749,-0.333211748,-0.841259158,-0.530721051,-0.966679684,0.139673901,-0.668676422,-0.855790524,-0.302461631,0.207804809,-1.052127962,0.078662817,0.351769132,0.425004832,-0.761764252,-0.748314804,-0.161692664,0.009843805,-0.503427197,-0.246514827,-0.319829851,-0.253918787,-0.874696116,-1.247694666,-0.735057227,-0.52847272,0.316568643,0.33489987,-1.035956875,-0.617989878,-1.298295711,-0.824398224,1.802455159,-0.59910628,-0.441174331,0.300143766,-0.247002183,0.169206735,-1.34640615,-0.204813384,0.157474281,-1.290843894,-0.517048131,-0.644409028,-0.072400211,"Breast"
"10","Breast-454",-0.905372703,-0.86364254,-0.236095746,-0.524276994,-0.589978633,-0.388338861,-0.655850726,-0.447585715,-0.73535134,-0.661878348,-0.632263065,-0.727865232,-0.284816384,0.014633745,-0.426613877,-1.161760404,-0.478813184,-0.340149492,-0.600486532,-0.80848785,-1.115907397,-0.575604318,-0.422881789,-0.719596771,-0.728629005,-0.7848483,-0.650815301,-0.479399914,-0.227233685,-0.594778531,-0.775483,-0.437402372,-0.680586332,-0.489920087,-1.528297816,-0.969333383,-0.463746945,0.778800421,-0.49753683,0.177179583,1.68230754,-0.838599579,-0.684621292,-0.370140158,-0.942180091,-0.400006919,-0.567908941,-0.669444926,-0.809957246,-1.484993359,0.494421621,0.482060837,0.260755024,-0.503734273,-0.531937471,-0.468885137,-0.59488043,-0.777921763,-0.561972823,-0.630382034,-0.977708437,0.014942585,-0.36806772,-1.123873497,-0.492034492,-0.65202798,-1.041101457,-0.668000547,-1.024955415,-0.306584106,-0.399274206,-0.756068907,-0.81455317,-0.636517083,-0.306801295,-1.275471079,-0.97023759,-0.5608007,0.115897624,-0.683312601,0.431857685,0.775538304,-0.710705679,-0.516045806,-0.767690806,-0.211137741,-0.348548198,-0.378756915,-0.455883144,-0.410954581,-0.513738758,-1.101567834,-0.608406795,-0.775159049,-0.759389009,-1.060906479,-0.84542326,-0.583040296,-0.841223009,0.849918913,-0.821047941,-0.180380629,-0.935532359,-0.541513467,-0.490097224,-0.503270395,0.457544935,-0.954557409,-0.914975729,-0.818982439,-0.818903851,-1.852032709,-0.937979473,-0.940976735,-0.410090598,0.410926392,-0.894713657,-0.428348412,-0.750671444,-0.310226981,-1.283234236,-0.610426241,-0.391591735,-0.100031946,-0.916836687,-0.617887543,-0.328870139,0.095062634,-1.012392569,-1.187876594,-0.562269114,-0.966665455,-1.223944794,-0.405056535,-0.351453198,"Breast"
"11","48-Breast-WT",-1.191994311,-1.107993778,-0.665334495,-0.772187225,-0.806276725,0.500999698,-0.861129224,-0.704144721,-1.007859653,-1.561402241,-0.851846885,-0.958158837,0.440074272,-0.84398501,-0.743612006,-1.500206842,-0.720458291,-0.681138467,-0.835172385,-1.018020354,-1.438669474,-1.343669538,-0.676296929,-0.921853624,0.692050253,-1.01315448,-0.72095582,-0.110367579,-0.692968521,-0.833914294,-1.04258915,-0.791439954,0.025931902,-0.736124446,-0.879439112,-1.278905876,-0.704707626,-0.819606414,-0.748152748,-1.157877489,-0.297411321,-0.084872869,-0.902982317,-0.68655763,-0.278018281,-0.017328702,-0.964502893,-0.89114763,-1.072501899,-0.398902802,-0.880659037,-0.83510826,-1.280444305,-0.739352326,-0.7600017,-0.71426782,0.070499709,-0.142287881,-0.785964185,-0.843721155,-1.277243339,-0.926243707,-0.676489195,-0.000464331,0.996679777,-0.864370567,-1.053418453,-0.900621542,-0.147729505,-0.646453491,-0.724908661,-0.956824227,-0.997291376,-0.842958478,-0.697517399,-1.635505354,-1.279036168,-0.584957953,-0.446845755,-0.957422424,-1.043372425,-1.028656378,-0.552448514,-0.738980076,-1.008168293,0.107253713,-0.312999168,-0.739736776,-0.678356621,-1.21084997,0.334000435,-1.440062968,-0.829958782,-0.503987148,1.240962494,-1.368625485,-1.103999115,-0.8478809,-1.131092013,-1.063159942,-0.131088985,0.341528687,-1.22850518,-0.281262508,-1.14305242,-0.156516099,-1.892609534,-1.24768547,0.137227697,-1.047711619,-1.060906452,-0.004045708,-1.228712054,0.167808581,-0.728332975,-0.948311918,-1.19513812,-1.264941171,0.975574815,-0.601222561,-0.793650254,-0.81581829,2.410792071,-0.124863336,-0.728322146,-0.859739105,-0.744973455,-0.406421085,-1.329151797,0.136150199,-1.308594902,0.567133241,-1.578009241,-0.635067639,-0.101525487,"Breast"
"12","50-Breast-WT",-1.217402807,-1.127659715,-0.673640325,-0.783874516,-0.823594762,-0.727624968,-0.877523525,-0.720980788,-1.033847876,-0.81625754,-0.865578174,-0.977447714,-0.525437253,-0.865677871,-0.755269586,-1.5297892,-0.734466742,-0.691923889,-0.84789223,-0.524224207,-0.619226508,-1.373473642,1.021138777,-0.433312862,-0.948084172,-1.03158581,-0.910037165,-1.32772398,-0.701384022,-0.846982015,-0.683532774,-0.80349183,-0.892710537,-0.751868759,-1.693245131,-1.307560746,-0.720942639,-0.830548996,-0.761907118,-1.797037126,-0.998231397,-1.1286008,-0.920381671,0.036914407,-1.295680104,-0.746635865,-0.628400124,-0.909907399,-1.095374562,-0.396626855,-0.892648834,-1.402654585,-1.310687328,-0.763696081,-0.78154952,2.428101957,-0.680728217,-1.767493879,-0.800272056,-0.858265429,-1.303402411,-1.867726684,-0.687505306,-1.487764921,-0.7880496,-0.882067265,-1.389823232,-0.511454496,-1.027642884,-0.656846638,-0.140317039,-0.972157032,-1.71855769,-0.860091292,-0.705909869,-1.669430659,-1.307177487,-0.611424088,-1.161436094,-0.983774278,-1.062761305,-0.374953488,-1.683249716,-0.757672146,-1.028386806,-0.231656283,-0.945946265,-0.750747612,-1.352864057,-1.238293784,-0.76008432,-1.472079788,-0.849239954,-1.014411431,-0.972900695,-1.17151127,-1.125639779,-0.261253663,-1.158405066,-1.0814843,-1.059197965,-1.803556588,-1.254465549,-0.857582067,-0.931108701,-0.75380724,-2.193494235,-1.273378557,-1.243711119,-0.271970517,-1.080805381,-2.559036128,-1.254335105,-1.258209672,-0.739740363,-0.96830629,-1.223703541,-0.246785217,-1.046918666,-0.842270363,-1.318141892,-0.83040264,-0.656056097,-1.916857496,-1.20914018,2.412538456,-2.624804064,-2.11486204,0.181274599,0.104717714,-1.339167625,-1.302906848,-1.610766322,-0.651008715,-1.377995237,"Breast"
"13","55-Breast-WT",-1.152196259,-1.076467502,-0.651607663,-0.75310681,-0.77876217,-0.701492048,-0.834834197,-0.677544155,-0.967914737,-1.511689411,-0.829544162,-0.927511684,-0.432476728,-0.810226917,-0.724594813,-1.453712175,-0.697926369,-0.663543275,-0.814428881,-0.992059491,0.906643296,-1.297590705,2.647526124,-0.896365866,-0.906512529,-0.983623054,-0.430021439,-0.420154765,-0.679043271,-0.812637489,-1.005179408,-0.771744588,-0.852780898,-0.711022087,-1.863244432,-1.234539777,-0.678961536,-0.801600399,-0.725968139,-1.707872805,-0.960386105,-0.856815206,-0.875092752,0.791870702,1.135952371,-0.719299038,-0.712198457,-0.861405339,-1.03651953,-0.275621307,-0.8609836,-2.534568752,-1.2339377,-0.702684722,-0.726735161,-0.694485269,-0.601372305,-1.401654539,-0.085651699,-0.820208989,-0.510352102,-1.777900515,-0.658552076,-1.410505683,-0.726557889,-0.836210094,0.785819654,-0.868709636,-1.296498217,1.346209955,-1.66101816,-0.931951769,-0.895519952,-0.815667658,-0.683633253,-1.059489732,-1.235284693,-0.743456762,-0.907162162,-0.916973418,-1.012388558,0.328561044,-1.207639907,-0.709637602,-0.976077795,-0.094415935,-1.922095136,-0.721716917,-0.879021332,-1.168251133,0.797582294,-1.390817762,-0.79957828,-0.968331336,-0.933216916,-1.323121956,-1.069619837,1.340603673,-1.088984755,-1.033702406,-1.01425882,-1.714434335,-1.187841289,-2.626137998,0.168772405,-0.718909002,-0.31630665,-1.20733257,-1.172924714,-1.01846559,-1.029162518,-1.51294549,-0.784632516,-1.192872635,-0.70971422,-0.916665924,-1.151217002,-1.680745781,-0.980454936,-0.557531769,-0.245973889,-0.792304813,-0.621948504,-1.456059087,-0.656066613,-0.824816144,-0.688232351,-2.020588616,-1.283512485,0.313320629,-1.261591173,-1.229298901,-1.527311857,-0.609977681,-1.485509658,"Breast"
