"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.622803829285566,-1.04634508615924,-0.504092867637063,-0.470263139386551,-0.73287211537662,-1.12561333652074,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.644452166720837,-0.502737008274873,-0.565845060824243,-0.530944400209749,-0.554462633501151,0.71236199403967,3.09738572241592,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.60138553636741,-0.644579436713602,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.847487547850667,-0.490986750038817,-0.575716818273268,-0.607941775369872,2.67349031608311,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,4.80385597987533,-0.454763048708803,3.91595258901767,-0.44670420852186,0.495662450859111,-0.534409221752732,0.985570727404211,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,4.45213832643602,-0.624231067142604,-0.93969794690545,-0.580575930301235,-0.753092682936152,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,0.98781462963819,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,0.31403197024099,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU284-GBM-vIII",-0.622803829285566,-0.738784070423149,-0.504092867637063,1.68993638628222,-0.73287211537662,0.960590303604859,-0.378386851177617,2.0752781082097,-0.50884989360878,0.221993663573043,0.215311740881944,0.53809330741617,-0.502737008274873,1.71738188382175,-0.00956652874810896,-0.554462633501151,-0.443851632888024,0.189156509416125,-1.00909137052066,-0.492205304226604,0.321801531378542,-0.695071002933568,-0.476853862650794,-0.60138553636741,-0.644579436713602,-0.0283102758112731,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,1.76307999885081,1.10178787309123,-0.575716818273268,-0.607941775369872,0.404617279279118,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,2.36606478484936,-0.534409221752732,1.14123419444722,-0.167718521331633,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,0.618396522698112,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.350799795800041,-0.580575930301235,3.01469710392144,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,1.02963587549205,-0.636684481310347,-0.504866704114067,0.107430991745925,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU306-GBM-vIII",0.950337611358106,1.71661216107102,-0.504092867637063,2.47211347640624,-0.73287211537662,-0.247006966608368,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,2.29261014680815,-0.502737008274873,2.45737154018582,2.71104477427495,-0.554462633501151,-0.443851632888024,-0.833853292576544,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,2.046108181612,1.97009804327825,1.57986051097104,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.847487547850667,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,3.52267074088972,3.75193734767632,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,2.82170799251484,1.70051542588899,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU360-GBM-WT",-0.622803829285566,1.16637567994052,-0.504092867637063,-0.470263139386551,-0.73287211537662,1.05929818646927,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,1.29011776975958,-0.502737008274873,2.12227601314403,1.0501205974998,-0.554462633501151,-0.443851632888024,-0.393069520716159,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,2.61390332299124,-0.60138553636741,1.5947959773629,1.53507350000156,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,2.60518237245277,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,-0.580575930301235,0.663039820647,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU372-GBM-vIII",1.24396354307407,0.639628700158554,-0.504092867637063,-0.470263139386551,-0.73287211537662,1.11049786506949,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,1.89918568503205,1.02692798253297,-0.502737008274873,1.28369070099192,-0.530944400209749,-0.554462633501151,-0.443851632888024,0.860950084407012,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,0.879481495605991,0.733648001083366,0.0642936042577571,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,0.752189625771443,2.6762545918244,-0.575716818273268,-0.607941775369872,0.379340079917821,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,1.28177518062469,3.08063382793305,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,1.72959737334322,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU378-GBM",4.838271310584,2.02160365337501,-0.504092867637063,1.45764776625083,0.400263672314976,3.03811610712261,3.31393134665547,0.630561868163548,-0.50884989360878,3.84485901012734,0.315380923211621,2.98052457708851,-0.502737008274873,0.553637195736138,5.22854188157776,-0.554462633501151,-0.443851632888024,-0.172482357432497,-0.611502143010563,-0.492205304226604,0.1264068573798,-0.695071002933568,2.82403303262934,0.785254977737983,1.19105657440387,3.36885275308734,-0.48551402693301,-0.240567094381014,0.866810946546539,-0.450589165201014,-0.67766395689567,-0.14103598575812,-0.490986750038817,-0.575716818273268,-0.607941775369872,0.0822177507441768,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.183563926818544,-0.454763048708803,-0.782395946637642,1.79361084685906,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.484656495859051,-0.6152337154774,-0.539840567297763,-1.16700857218029,0.310649620664909,0.159458914053778,1.07958938866065,-0.584516259022239,-0.554620084119104,-0.624231067142604,0.289802745269353,-0.0588586839992091,1.7648849884927,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.0177932580383657,-0.59759168014289,-0.645777537662684,3.51053810749426,0.09603140982275,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU383Platelet-hiseq",1.04195087932049,1.13714153177308,-0.504092867637063,-0.470263139386551,-0.73287211537662,-1.12561333652074,-0.378386851177617,-0.449675359086114,-0.50884989360878,3.5318113138241,-0.517190536167296,-0.644452166720837,-0.502737008274873,3.65086753711383,-0.530944400209749,-0.554462633501151,-0.443851632888024,1.21271135952063,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.60138553636741,2.80795166868922,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.847487547850667,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,5.48663542745129,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,-0.580575930301235,0.702314825620725,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU393-GBM-vIII",-0.622803829285566,-1.04634508615924,-0.504092867637063,4.67047678893003,-0.73287211537662,1.78197730594124,-0.378386851177617,3.50453243778684,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.644452166720837,-0.502737008274873,0.967561774176152,-0.530944400209749,-0.554462633501151,-0.443851632888024,0.537175838849864,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.60138553636741,-0.644579436713602,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,3.00422814914164,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.107370923985504,-0.580575930301235,3.00586226454502,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,2.08794269172126,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU394Platelet-hiseq",-0.622803829285566,1.16905622956677,-0.504092867637063,-0.470263139386551,-0.73287211537662,-0.532634833961106,2.08747423684447,4.31441048930853,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.644452166720837,-0.502737008274873,-0.0877420739627201,-0.530944400209749,-0.554462633501151,-0.443851632888024,-0.833853292576544,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.60138553636741,-0.644579436713602,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.847487547850667,2.19592765851528,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,0.76330939877721,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,0.369005627539132,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,0.244032782771432,-0.580575930301235,-0.753092682936152,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.37760976723734,-0.592767931218722,-0.427419269955464,0.328107063046313,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU398-GBM",1.55617314278341,0.727046838707603,-0.504092867637063,1.47568702404737,-0.73287211537662,0.73794236967502,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,0.165404576229497,1.96143202377685,0.843132398830387,-0.530944400209749,-0.554462633501151,-0.443851632888024,-0.292696245531931,-1.00909137052066,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,0.424590942598449,-0.644579436713602,1.28908520155147,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,3.10645549238604,1.94419764292762,-0.575716818273268,-0.607941775369872,-0.553572550214445,-0.527954826294125,-0.76412761622564,-0.439765002258775,-1.06019125008981,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.910833690718389,-0.6152337154774,-0.539840567297763,-1.16700857218029,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,-0.580575930301235,0.269878261590223,-0.97424155118043,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.961557031633312,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
